ID,NationalTeam,IntReputation,NationalNumber
208421,Not in team,3,
208461,Netherlands,3,15
209981,Not in team,1,
210035,Not in team,3,
210413,Not in team,2,
210935,Italy,2,11
211256,Argentina,3,3
198717,Not in team,2,
194404,Not in team,2,
164835,Not in team,2,
188152,Not in team,3,
168435,Italy,3,1
168651,Not in team,3,
173731,Wales,4,11
178005,Portugal,3,1
178562,Not in team,3,
180206,Not in team,3,
183512,Not in team,2,
187072,Not in team,3,
188943,Germany,3,22
193698,Not in team,2,
189242,Not in team,4,
190815,Netherlands,3,17
192318,Not in team,4,
193105,Not in team,2,
193165,Mexico,3,17
193301,Not in team,3,
193474,Not in team,2,
193525,Not in team,2,
211515,Not in team,2,
234378,England,1,4
200888,Portugal,3,13
235374,Not in team,2,
209297,Not in team,3,
208618,Not in team,2,
208596,Not in team,3,
208448,Sweden,3,10
251854,Spain,2,26
251573,Not in team,1,
247394,Sweden,2,21
247263,Not in team,2,
245279,Not in team,1,
241852,France,2,11
240950,Not in team,1,
239231,Not in team,1,
238074,Not in team,2,
208330,Not in team,1,
210385,Portugal,1,22
207439,Argentina,2,5
206511,Not in team,2,
205678,Not in team,2,
205659,Not in team,1,
205569,Not in team,2,
205175,Not in team,3,
204638,Hungary,2,6
204525,Not in team,2,
204311,France,2,15
204120,Czech Republic,1,1
203551,Not in team,3,
202695,Not in team,1,
201095,Not in team,1,
210008,France,2,14
210406,Poland,3,20
230225,Brazil,1,4
221992,Mexico,3,22
230258,Brazil,1,22
230294,Brazil,1,7
230347,Brazil,1,18
228251,Not in team,2,
227950,Not in team,2,
227127,Not in team,1,
226226,Argentina,1,20
226166,Not in team,2,
226110,Not in team,2,
225375,Austria,2,20
224411,Not in team,2,
224081,England,2,14
223952,Not in team,1,
221479,England,2,18
210411,Portugal,1,16
221363,Not in team,3,
220407,Not in team,2,
220093,Not in team,3,
217940,Not in team,1,
216475,Not in team,2,
216409,Not in team,2,
216201,Not in team,2,
215330,Argentina,1,16
214979,Argentina,1,12
212194,Not in team,3,
211990,Greece,1,1
211300,France,3,9
210463,Not in team,1,
200949,Not in team,3,
230256,Brazil,1,6
200724,Not in team,2,
234906,Not in team,2,
163705,France,3,16
167664,Not in team,4,
171791,Not in team,3,
172871,Belgium,3,5
176266,Not in team,3,
178086,Not in team,2,
181458,Not in team,3,
181872,Not in team,4,
183574,Not in team,2,
184200,Austria,3,7
187754,Ukraine,2,11
190674,Not in team,2,
192366,Argentina,3,19
234742,Not in team,1,
200454,Not in team,2,
234153,Not in team,2,
233927,Not in team,2,
232411,Not in team,2,
231969,Ukraine,3,8
230430,Brazil,1,20
193283,Denmark,2,8
193314,Not in team,1,
193983,Not in team,2,
195365,Not in team,2,
195859,Not in team,1,
197965,Not in team,3,
198164,Not in team,2,
198710,Not in team,4,
163489,Not in team,2,
156519,Mexico,3,16
153244,Not in team,1,
124375,Not in team,2,
45186,Not in team,2,
200260,Netherlands,2,11
199987,Not in team,3,
199564,Not in team,3,
199304,Not in team,2,
139068,Not in team,4,
213661,Denmark,2,6
209519,Not in team,2,
209960,Not in team,1,
210455,Not in team,2,
211117,Not in team,3,
212151,Not in team,1,
212187,Not in team,2,
212814,Portugal,3,24
215223,Not in team,2,
214584,Argentina,1,1
215316,Not in team,3,
217870,Italy,2,2
219683,Not in team,3,
219953,Not in team,1,
