ID,PreferredFoot,Height,Weight
193301,Right,175,73
193474,Right,174,66
193525,Right,187,80
211515,Right,194,94
234378,Right,185,80
200888,Right,188,83
235374,Right,174,67
209297,Left,169,62
208618,Right,173,70
208596,Right,181,84
208448,Right,177,76
251854,Right,174,61
251573,Left,173,70
247394,Left,186,75
247263,Right,194,85
245279,Left,178,68
241852,Left,170,68
240950,Right,173,65
239231,Left,172,66
238074,Right,178,87
208330,Left,186,76
210385,Right,191,91
207439,Right,180,75
206511,Left,184,74
205678,Right,172,63
205659,Right,184,78
205569,Right,173,66
205175,Left,186,78
204638,Right,186,87
204525,Left,182,77
204311,Right,190,95
204120,Right,188,85
203551,Right,173,67
202695,Right,188,81
201095,Right,188,84
210008,Left,192,80
210406,Right,180,75
230225,Right,181,82
221992,Right,175,70
230258,Right,175,70
230294,Right,188,83
230347,Left,178,69
228251,Right,186,77
227950,Right,182,79
227127,Right,191,83
226226,Left,177,68
226166,Right,187,84
226110,Left,183,73
225375,Right,180,72
224411,Right,179,68
224081,Right,178,72
223952,Right,192,85
221479,Right,187,71
210411,Right,172,71
221363,Right,184,74
220407,Right,190,80
220093,Right,185,72
217940,Right,178,72
216475,Right,180,70
216409,Left,171,67
216201,Right,186,80
215330,Right,189,75
214979,Right,191,93
212194,Right,185,83
211990,Right,191,78
211300,Right,184,76
210463,Right,174,74
200949,Right,174,70
230256,Left,172,68
200724,Right,180,76
234906,Right,175,70
163705,Right,185,82
167664,Right,186,89
171791,Right,191,84
172871,Left,189,86
176266,Right,179,78
178086,Left,190,86
181458,Left,186,80
181872,Right,180,75
183574,Left,180,76
184200,Right,192,83
187754,Left,174,76
190674,Right,180,74
192366,Right,183,76
234742,Right,180,66
200454,Right,175,70
234153,Right,180,76
233927,Left,180,72
232411,Right,179,72
231969,Left,181,79
230430,Right,184,79
193283,Left,182,79
193314,Right,182,78
193983,Right,181,83
195365,Right,178,66
195859,Right,178,73
197965,Right,177,72
198164,Right,171,67
198710,Left,180,75
163489,Right,189,82
156519,Right,185,78
153244,Right,189,85
124375,Right,188,77
45186,Right,179,75
200260,Left,182,75
199987,Right,185,83
199564,Right,178,68
199304,Right,184,78
139068,Right,177,70
213661,Right,187,81
209519,Left,181,78
209960,Left,186,81
210455,Right,170,70
211117,Right,188,80
212151,Right,193,78
212187,Left,177,77
212814,Right,179,73
215223,Right,191,93
214584,Right,189,88
215316,Right,189,84
217870,Right,183,83
219683,Right,181,81
219953,Right,173,68
220182,Right,184,80
220971,Right,172,64
221087,Left,189,77
221660,Right,187,80
222331,Right,187,88
222716,Right,174,72
223724,Right,175,73
198141,Right,184,73
201143,Right,184,78
208808,Right,174,72
171877,Right,183,73
231447,Right,179,78
1179,Right,192,92
140233,Right,190,85
148119,Right,186,78
162347,Right,170,61
169588,Right,188,77
171579,Right,184,83
172522,Right,181,74
183855,Left,191,86
173426,Right,193,87
176676,Left,174,75
177388,Right,175,77
177509,Right,189,94
177604,Left,180,77
178518,Right,176,65
182493,Right,187,78
232119,Right,185,82
232293,Right,185,78
233195,Left,174,76
233306,Right,188,85
246669,Left,178,65
244470,Right,175,76
244369,Left,178,72
243576,Right,176,71
